1,,3,114.44,-16.88,6.7,  A1Vn              
2,,6,98.33,-61.14,6.29, gG9                
3,33    Psc,28,93.75,-65.93,4.61,  K0IIIbCN-0.5      
4,86    Peg,87,106.19,-47.98,5.51,  G5III             
5,,123,117.03,-3.92,5.96,  G5V               
6,,142,321.61,-66.38,5.7,  G1IV              
7,10    Cas,144,118.06,1.75,5.59,  B9III             
8,,166,111.26,-32.83,6.13,  K0V               
9,,203,52.21,-79.14,6.18,  A7V               
10,,256,74.36,-75.9,6.19,  A6Vn              
11,,315,98.02,-63.29,6.43,  B8IIIpSi          
12,,319,55.56,-79.07,5.94,  A2Vp:             
13,,344,355.91,-78.67,5.68,  K1III             
14,,352,98.34,-63.24,6.07,  K2III+F           
15,21Alp And,358,111.73,-32.84,2.06,  B8IVpMnHg         
16,,360,91.79,-69.04,5.99, gG8                
17,,400,113.45,-25.45,6.19,  F8IV              
18,,402,74.69,-76.25,6.06,  M0III             
19,,417,110.97,-36.42,6.23,  K0III             
20,,431,120.98,17,6.01,  A7IV              
21,11Bet Cas,432,117.52,-3.27,2.27,  F2III-IV          
22,87    Peg,448,108.99,-43.51,5.53,  G9III             
23,,469,316.25,-62.02,6.33,  G4IV              
24,Kap1Scl,493,25.24,-80.63,5.42,  F2V               
25,Eps Phe,496,324.34,-69.6,3.88,  K0III             
26,34    Psc,560,106.87,-50.43,5.51,  B9Vn              
27,22    And,571,115.52,-16.21,5.03,  F2II              
28,,584,117.38,-5.26,6.74,  B7IV              
29,,587,96.99,-66.03,5.84,  K1III             
30,Gam3Oct,636,304.63,-34.77,5.28,  G8III             
31,,645,87.69,-72.6,5.85,  K0IV              
32,,661,306.98,-43.58,6.64,  F2V+F6V           
33,6    Cet,693,82.24,-75.06,4.89,  F7V               
34,Kap2Scl,720,26.3,-81.13,5.41,  K5III             
35,The Scl,739,347.16,-78.34,5.25,  F4V               
36,,743,116.16,-14.2,6.16, gK4                
37,,787,76.32,-77.1,5.25,  K5III             
38,,829,114.55,-24.55,6.73,  B2V               
39,88Gam Peg,886,109.43,-46.68,2.83,  B2IV              
40,,895,112.56,-35.12,6.3,  G0III             
41,23    And,905,115.27,-21.27,5.72,  F0IV              
42,,942,38.28,-81.49,5.94,  K5III             
43,,943,36.52,-81.54,6.31,  K5III             
44,,952,113.99,-29.02,6.25,  A1V               
45,89Chi Peg,1013,111.3,-41.83,4.8,  M2+III            
46,,1014,96.87,-68.76,5.12,  M3+III            
47,,1032,303.91,-32.06,5.77,  M0-1III           
48,7    Cet,1038,75.11,-78.23,4.44,  M3III             
49,,1048,111.92,-39.81,6.24,  A1pSi             
50,35    Psc,1061,107.86,-52.98,5.79,  F0IV              
51,,1064,95.06,-70.44,5.75,  B9V               
52,,1075,113.93,-30.7,6.45,  K5                
53,,1083,113.1,-34.9,6.35,  A1Vn              
54,,1089,345.8,-78.99,6.17,  K3III             
55,,1141,120.89,14.22,6.35,  B8Vnn             
56,,1185,116.23,-18.82,6.15,  A2VpSi            
57,,1187,1.53,-81.18,5.67,  K5III             
58,,1221,305.79,-41.02,6.49,  G8-K0III          
59,36    Psc,1227,108.28,-53.64,6.11,  G8II-III          
60,,1239,118.83,-1.06,5.74,  G8III             
61,,1256,72.13,-79.47,6.47,  B8III             
62,,1279,117.01,-14.53,5.89,  B7III             
63,24The And,1280,115.62,-23.7,4.61,  A2V               
64,,1324,305.07,-38.2,6.77,  F3III             
65,,1337,117.59,-11.09,6.14,  O9IIInn           
66,,1343,77.21,-78.78,6.45,  F4IV-V            
